2026-07-22 10:12:30 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:30 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:30 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:30 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:30 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:30 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 5 workers
2026-07-22 10:12:30 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 5 workers
2026-07-22 10:12:30 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 5 workers
2026-07-22 10:12:30 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 7 workers
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_0_0     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_1_0     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_2_0     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_3_0     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 6 workers
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_0_1     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_3_1     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_2_1     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:31 | [INFO    ] | zooui.Tiler.mixed_1_1     | __savetile           | 100% tiled
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 5 workers
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:31 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 3 workers
2026-07-22 10:12:31 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:32 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-22 10:12:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:32 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 2 workers
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:12:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
